,Unnamed: 0,multiple_deliveries,e_Time_Orderd,e_Time_Order_picked,weekday,weekend,holiday,Time_taken (min),distance,Weather conditions_Cloudy,Weather conditions_Fog,Weather conditions_Sandstorms,Weather conditions_Stormy,Weather conditions_Sunny,Weather conditions_Windy,Road_traffic_density_High,Road_traffic_density_Jam,Road_traffic_density_Low,Road_traffic_density_Medium,Vehicle_condition,Type_of_order_Buffet,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Type_of_vehicle_electric_scooter,Type_of_vehicle_motorcycle,Type_of_vehicle_scooter,Festival,City_Metropolitian,City_Semi-Urban,City_Urban
40,60,1.0,1900-01-01 09:35:00,1900-01-01 09:45:00,5,1,0,26,6.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
41,61,1.0,1900-01-01 19:45:00,1900-01-01 19:55:00,1,0,0,27,23.4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
42,62,1.0,1900-01-01 18:45:00,1900-01-01 19:00:00,1,0,0,16,9.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
43,63,1.0,1900-01-01 11:35:00,1900-01-01 11:45:00,5,1,0,27,4.7,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0
44,64,0.0,1900-01-01 19:20:00,1900-01-01 19:30:00,3,0,0,16,13.5,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
45,65,0.0,1900-01-01 11:15:00,1900-01-01 11:30:00,3,0,0,37,7.3,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0
46,67,0.0,1900-01-01 10:35:00,1900-01-01 10:40:00,5,1,0,13,1.9,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0
47,68,1.0,1900-01-01 22:25:00,1900-01-01 22:35:00,5,1,0,24,6.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
48,69,0.0,1900-01-01 21:00:00,1900-01-01 21:15:00,0,0,0,19,22.6,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,1
49,71,0.0,1900-01-01 18:25:00,1900-01-01 18:30:00,3,0,0,12,9.2,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1
50,73,1.0,1900-01-01 16:15:00,1900-01-01 16:30:00,1,0,0,27,8.5,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0
51,74,1.0,1900-01-01 22:15:00,1900-01-01 22:30:00,4,0,0,29,14.3,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,0,0
52,76,1.0,1900-01-01 20:55:00,1900-01-01 21:05:00,3,0,0,31,20.7,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0
53,78,0.0,1900-01-01 20:50:00,1900-01-01 21:00:00,4,0,0,43,22.8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
54,80,0.0,1900-01-01 13:25:00,1900-01-01 13:35:00,1,0,0,12,13.6,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1
55,81,1.0,1900-01-01 09:10:00,1900-01-01 09:25:00,1,0,0,16,4.1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
56,83,0.0,1900-01-01 23:40:00,1900-01-01 23:50:00,5,1,0,20,18.6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
57,84,0.0,1900-01-01 19:40:00,1900-01-01 19:55:00,2,0,0,26,13.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
58,85,1.0,1900-01-01 16:55:00,1900-01-01 17:10:00,4,0,0,31,8.4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
59,86,0.0,1900-01-01 08:25:00,1900-01-01 08:35:00,1,0,0,19,5.5,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1
60,87,1.0,1900-01-01 21:40:00,1900-01-01 21:45:00,0,0,0,26,17.9,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0
61,89,0.0,1900-01-01 19:45:00,1900-01-01 19:55:00,3,0,0,47,20.8,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
62,90,0.0,1900-01-01 09:00:00,1900-01-01 09:05:00,5,1,0,14,4.4,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0
63,91,0.0,1900-01-01 18:20:00,1900-01-01 18:25:00,0,0,0,11,49.1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
64,92,1.0,1900-01-01 11:25:00,1900-01-01 11:30:00,1,0,0,38,3.4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
65,93,1.0,1900-01-01 15:15:00,1900-01-01 15:20:00,0,0,0,25,17.1,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0
66,94,0.0,1900-01-01 18:25:00,1900-01-01 18:30:00,4,0,0,44,23.7,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
67,95,1.0,1900-01-01 09:50:00,1900-01-01 10:05:00,2,0,0,21,4.7,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
68,96,0.0,1900-01-01 18:40:00,1900-01-01 18:45:00,3,0,0,12,12.1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
69,98,1.0,1900-01-01 18:20:00,1900-01-01 18:35:00,5,1,0,30,11.3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
70,99,1.0,1900-01-01 10:00:00,1900-01-01 10:15:00,2,0,0,14,6.1,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,0
71,101,1.0,1900-01-01 18:30:00,1900-01-01 18:45:00,6,1,0,37,48.0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0
72,104,1.0,1900-01-01 18:35:00,1900-01-01 18:50:00,5,1,0,19,10.2,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1
73,105,2.0,1900-01-01 20:40:00,1900-01-01 20:50:00,5,1,0,48,8.4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
74,106,0.0,1900-01-01 18:15:00,1900-01-01 18:20:00,3,0,0,48,14.4,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
75,108,0.0,1900-01-01 17:25:00,1900-01-01 17:40:00,1,0,0,29,16.9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
76,110,1.0,1900-01-01 18:15:00,1900-01-01 18:30:00,0,0,0,25,17.1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
77,111,1.0,1900-01-01 19:50:00,1900-01-01 20:05:00,3,0,0,21,18.2,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0
78,112,1.0,1900-01-01 17:20:00,1900-01-01 17:25:00,4,0,0,35,14.5,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0
79,116,0.0,1900-01-01 19:35:00,1900-01-01 19:40:00,2,0,0,34,6.2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
80,117,1.0,1900-01-01 18:55:00,1900-01-01 19:05:00,3,0,0,24,5.6,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0
81,119,1.0,1900-01-01 20:55:00,1900-01-01 21:05:00,4,0,0,14,13.7,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0
82,120,0.0,1900-01-01 22:00:00,1900-01-01 22:05:00,3,0,0,41,18.1,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0
83,121,1.0,1900-01-01 09:45:00,1900-01-01 09:50:00,1,0,0,19,3.6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
84,122,0.0,1900-01-01 10:55:00,1900-01-01 11:00:00,3,0,0,22,4.1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
85,124,1.0,1900-01-01 18:40:00,1900-01-01 18:50:00,4,0,0,30,43.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
86,125,1.0,1900-01-01 19:55:00,1900-01-01 20:10:00,4,0,0,31,23.2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
87,127,1.0,1900-01-01 20:20:00,1900-01-01 20:30:00,5,1,0,25,19.7,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0
88,129,1.0,1900-01-01 17:35:00,1900-01-01 17:50:00,3,0,0,24,8.4,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1
89,130,1.0,1900-01-01 23:15:00,1900-01-01 23:25:00,3,0,0,28,11.9,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
90,131,1.0,1900-01-01 09:40:00,1900-01-01 09:45:00,1,0,0,19,5.1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
91,132,1.0,1900-01-01 13:35:00,1900-01-01 13:50:00,6,1,0,21,9.0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0
92,133,1.0,1900-01-01 18:35:00,1900-01-01 18:50:00,2,0,0,17,9.4,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0
93,134,2.0,1900-01-01 22:20:00,1900-01-01 22:30:00,4,0,0,39,26.3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0
94,135,0.0,1900-01-01 21:45:00,1900-01-01 21:55:00,4,0,0,25,25.4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
95,136,1.0,1900-01-01 19:35:00,1900-01-01 19:45:00,2,0,0,26,18.8,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
96,137,0.0,1900-01-01 10:10:00,1900-01-01 10:20:00,5,1,0,11,5.1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
97,139,1.0,1900-01-01 00:00:00,1900-01-01 00:05:00,3,0,0,22,12.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
98,142,0.0,1900-01-01 20:15:00,1900-01-01 20:30:00,0,0,0,49,19.6,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
99,143,1.0,1900-01-01 15:35:00,1900-01-01 15:50:00,1,0,0,15,8.5,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,1
100,144,0.0,1900-01-01 10:50:00,1900-01-01 11:05:00,1,0,0,18,3.8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
101,145,0.0,1900-01-01 19:30:00,1900-01-01 19:40:00,3,0,0,27,10.7,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
102,146,1.0,1900-01-01 11:40:00,1900-01-01 11:55:00,2,0,0,32,5.1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
103,147,1.0,1900-01-01 00:00:00,1900-01-01 00:05:00,6,1,0,16,24.3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0
104,148,0.0,1900-01-01 21:55:00,1900-01-01 22:10:00,4,0,0,43,26.3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
105,149,0.0,1900-01-01 00:00:00,1900-01-01 00:15:00,2,0,0,27,26.6,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0
106,150,1.0,1900-01-01 18:35:00,1900-01-01 18:45:00,5,1,0,31,18.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
107,151,0.0,1900-01-01 19:10:00,1900-01-01 19:20:00,3,0,0,31,19.4,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0
108,152,0.0,1900-01-01 19:40:00,1900-01-01 19:45:00,4,0,0,16,14.2,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
109,153,1.0,1900-01-01 20:10:00,1900-01-01 20:20:00,5,1,0,38,18.4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
110,154,0.0,1900-01-01 23:40:00,1900-01-01 23:55:00,1,0,0,11,11.4,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1
111,155,1.0,1900-01-01 12:35:00,1900-01-01 12:40:00,0,0,0,25,8.5,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0
112,157,1.0,1900-01-01 19:10:00,1900-01-01 19:25:00,2,0,0,37,16.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
113,158,0.0,1900-01-01 22:55:00,1900-01-01 23:05:00,6,1,0,23,18.9,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0
114,159,1.0,1900-01-01 09:50:00,1900-01-01 09:55:00,4,0,0,16,6.4,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
115,160,1.0,1900-01-01 20:45:00,1900-01-01 21:00:00,5,1,0,25,14.1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1
116,161,0.0,1900-01-01 20:35:00,1900-01-01 20:50:00,3,0,0,19,7.2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
117,162,1.0,1900-01-01 12:30:00,1900-01-01 12:45:00,3,0,0,18,10.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
118,163,1.0,1900-01-01 10:40:00,1900-01-01 10:50:00,3,0,0,19,2.8,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1
119,164,0.0,1900-01-01 21:00:00,1900-01-01 21:05:00,0,0,0,15,17.1,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,1,0,0
120,165,0.0,1900-01-01 18:15:00,1900-01-01 18:20:00,2,0,0,19,25.2,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0
121,166,2.0,1900-01-01 21:25:00,1900-01-01 21:40:00,6,1,0,44,23.3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
122,167,1.0,1900-01-01 16:25:00,1900-01-01 16:30:00,5,1,0,33,9.1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
123,168,1.0,1900-01-01 14:10:00,1900-01-01 14:25:00,0,0,0,34,9.2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
124,169,1.0,1900-01-01 15:00:00,1900-01-01 15:05:00,4,0,0,27,10.3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
125,172,1.0,1900-01-01 19:35:00,1900-01-01 19:45:00,3,0,0,37,6.2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
126,173,1.0,1900-01-01 17:30:00,1900-01-01 17:40:00,5,1,0,29,7.2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0
127,174,0.0,1900-01-01 09:30:00,1900-01-01 09:35:00,0,0,0,11,3.3,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1
128,176,0.0,1900-01-01 08:45:00,1900-01-01 08:55:00,3,0,0,13,9.4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
129,178,1.0,1900-01-01 22:20:00,1900-01-01 22:25:00,0,0,0,20,19.4,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
130,179,1.0,1900-01-01 19:10:00,1900-01-01 19:25:00,0,0,0,38,20.0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0
131,180,0.0,1900-01-01 22:45:00,1900-01-01 23:00:00,6,1,0,27,6.7,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
132,181,1.0,1900-01-01 23:15:00,1900-01-01 23:20:00,3,0,0,27,13.3,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,1,0,0,1,0,0
133,182,1.0,1900-01-01 11:00:00,1900-01-01 11:10:00,6,1,0,28,2.3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
134,183,0.0,1900-01-01 17:50:00,1900-01-01 18:05:00,3,0,0,30,16.8,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,1
135,184,1.0,1900-01-01 19:00:00,1900-01-01 19:10:00,1,0,0,14,15.0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,1,0,0
136,185,0.0,1900-01-01 17:55:00,1900-01-01 18:10:00,4,0,0,18,10.3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
137,186,1.0,1900-01-01 20:40:00,1900-01-01 20:50:00,0,0,0,41,20.7,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1
138,187,0.0,1900-01-01 16:25:00,1900-01-01 16:40:00,3,0,0,17,10.2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0
139,189,1.0,1900-01-01 08:50:00,1900-01-01 08:55:00,1,0,0,15,5.5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0
140,190,1.0,1900-01-01 10:55:00,1900-01-01 11:00:00,3,0,0,15,5.9,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0
141,192,1.0,1900-01-01 17:55:00,1900-01-01 18:00:00,4,0,0,31,26.4,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0
142,193,2.0,1900-01-01 21:15:00,1900-01-01 21:20:00,5,1,0,43,32.9,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0
143,195,1.0,1900-01-01 17:45:00,1900-01-01 17:50:00,2,0,0,26,15.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0
144,196,0.0,1900-01-01 17:10:00,1900-01-01 17:20:00,1,0,0,33,9.6,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0
145,197,1.0,1900-01-01 13:20:00,1900-01-01 13:25:00,1,0,0,18,7.9,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0
146,198,0.0,1900-01-01 22:10:00,1900-01-01 22:15:00,5,1,0,14,18.4,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0
147,199,0.0,1900-01-01 22:15:00,1900-01-01 22:30:00,4,0,0,25,35.6,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0
