,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,e_Time_Orderd,e_Time_Order_picked,weekday,weekend,holiday,Time_taken (min)
7504,23.359194,85.325447,23.399194,85.365447,2022-07-03,12:15,12:20,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 12:15:00,1900-01-01 12:20:00,6,1,0,28
4395,21.186608,72.794136,21.266608,72.874136,2022-03-27,18:35,18:50,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 18:35:00,1900-01-01 18:50:00,6,1,0,22
2049,11.022477,76.995667,11.042477,77.015667,2022-03-03,8:50,9:00,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 08:50:00,1900-01-01 09:00:00,3,0,0,30
34466,19.176269,72.836721,19.286269,72.946721,2022-03-14,19:25,19:35,Windy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,1900-01-01 19:25:00,1900-01-01 19:35:00,0,0,0,29
27385,17.483216,78.552111,17.543216,78.612111,2022-03-13,17:25,17:35,Fog,Medium,2,Drinks,scooter,0.0,No,Urban,1900-01-01 17:25:00,1900-01-01 17:35:00,6,1,0,19
447,26.766536,75.837333,26.826536,75.897333,2022-03-13,23:35,23:45,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 23:35:00,1900-01-01 23:45:00,6,1,0,29
4993,30.895204,75.822103,31.035204,75.962103,2022-02-18,17:15,17:30,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 17:15:00,1900-01-01 17:30:00,4,0,0,40
18347,11.008638,76.984311,11.058638,77.034311,2022-03-15,20:45,20:55,Windy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,1900-01-01 20:45:00,1900-01-01 20:55:00,1,0,0,25
20334,10.003064,76.307589,10.033064,76.337589,2022-02-15,0:00,0:10,Cloudy,Low,2,Drinks,electric_scooter,1.0,No,Urban,1900-01-01 00:00:00,1900-01-01 00:10:00,1,0,0,18
9477,13.081878,80.248519,13.111878,80.278519,2022-05-03,19:15,19:25,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 19:15:00,1900-01-01 19:25:00,1,0,0,22
11995,22.728163,75.884212,22.778163,75.934212,2022-03-28,21:00,21:10,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,1900-01-01 21:00:00,1900-01-01 21:10:00,0,0,0,32
33457,12.978453,77.643685,13.008453,77.673685,2022-09-03,20:45,21:00,Stormy,Jam,2,Buffet,scooter,0.0,No,Metropolitian,1900-01-01 20:45:00,1900-01-01 21:00:00,5,1,0,22
24215,26.902908,75.792934,26.992908,75.882934,2022-03-14,23:35,23:45,Sunny,Low,1,Snack,scooter,1.0,No,Urban,1900-01-01 23:35:00,1900-01-01 23:45:00,0,0,0,27
32957,18.539299,73.897902,18.589299,73.947902,2022-01-03,19:45,20:00,Cloudy,Jam,1,Meal,scooter,0.0,No,Metropolitian,1900-01-01 19:45:00,1900-01-01 20:00:00,0,0,0,33
39499,11.022477,76.995667,11.062477,77.035667,2022-11-03,14:50,15:00,Fog,High,2,Snack,scooter,2.0,No,Metropolitian,1900-01-01 14:50:00,1900-01-01 15:00:00,3,0,0,32
16838,22.308096,73.167753,22.348096,73.207753,2022-03-30,16:35,16:45,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,1900-01-01 16:35:00,1900-01-01 16:45:00,2,0,0,26
6391,22.310526,73.170937,22.350526,73.210937,2022-11-03,14:35,14:45,Cloudy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 14:35:00,1900-01-01 14:45:00,3,0,0,24
642,26.891191,75.802083,26.971191,75.882083,2022-02-03,0:00,0:05,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 00:00:00,1900-01-01 00:05:00,3,0,0,41
6585,23.351489,85.324253,23.371489,85.344253,2022-05-03,11:25,11:35,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 11:25:00,1900-01-01 11:35:00,1,0,0,25
5400,19.055831,72.833984,19.145831,72.923984,2022-08-03,19:00,19:15,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 19:00:00,1900-01-01 19:15:00,2,0,0,27
29652,12.972532,77.608179,13.042532,77.678179,2022-04-03,17:50,18:00,Cloudy,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,1900-01-01 17:50:00,1900-01-01 18:00:00,6,1,0,31
22376,23.333017,85.3172,23.343017,85.3272,2022-07-03,8:45,9:00,Fog,Low,1,Drinks,scooter,1.0,No,Urban,1900-01-01 08:45:00,1900-01-01 09:00:00,6,1,0,15
9442,13.026279,80.174568,13.156279,80.304568,2022-03-16,19:45,19:50,Stormy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 19:45:00,1900-01-01 19:50:00,2,0,0,16
13452,13.064181,80.236442,13.154181,80.326442,2022-04-04,22:10,22:25,Cloudy,Low,2,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 22:10:00,1900-01-01 22:25:00,0,0,0,28
3931,26.956431,75.776649,27.006431,75.826649,2022-05-04,19:15,19:25,Windy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 19:15:00,1900-01-01 19:25:00,2,0,0,26
4849,12.979166,77.640709,13.029166,77.690709,2022-03-03,18:55,19:00,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 18:55:00,1900-01-01 19:00:00,3,0,0,21
5910,22.745536,75.893106,22.775536,75.923106,2022-03-13,17:35,17:45,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 17:35:00,1900-01-01 17:45:00,6,1,0,33
28890,12.979166,77.640709,13.089166,77.750709,2022-03-29,23:25,23:30,Sunny,Low,1,Drinks,motorcycle,0.0,No,Urban,1900-01-01 23:25:00,1900-01-01 23:30:00,1,0,0,18
1514,12.972161,77.596014,13.032161,77.656014,2022-03-04,22:10,22:25,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 22:10:00,1900-01-01 22:25:00,4,0,0,27
6949,12.304569,76.643622,12.434569,76.773622,2022-03-18,21:50,22:05,Stormy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 21:50:00,1900-01-01 22:05:00,4,0,1,32
37644,11.022477,76.995667,11.152477,77.125667,2022-06-04,23:50,23:55,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 23:50:00,1900-01-01 23:55:00,5,1,0,18
5660,18.543626,73.905101,18.623626,73.985101,2022-10-03,18:00,18:05,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 18:00:00,1900-01-01 18:05:00,0,0,0,40
10351,17.440827,78.393391,17.530827,78.483391,2022-08-03,21:00,21:05,Stormy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 21:00:00,1900-01-01 21:05:00,2,0,0,29
31420,12.979096,77.640625,13.109096,77.770625,2022-03-31,17:25,17:40,Windy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,1900-01-01 17:25:00,1900-01-01 17:40:00,3,0,0,39
6188,12.972161,77.596014,12.992161,77.616014,2022-05-03,11:35,11:45,Fog,High,0,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 11:35:00,1900-01-01 11:45:00,1,0,0,32
35882,18.539299,73.897902,18.549299,73.907902,2022-09-03,10:50,11:00,Stormy,Low,1,Drinks,scooter,0.0,No,Metropolitian,1900-01-01 10:50:00,1900-01-01 11:00:00,5,1,0,29
36611,22.722634,75.886959,22.732634,75.896959,2022-03-28,8:15,8:20,Windy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,1900-01-01 08:15:00,1900-01-01 08:20:00,0,0,0,24
6616,27.160832,78.011608,27.200832,78.051608,2022-02-15,15:00,15:15,Fog,High,1,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 15:00:00,1900-01-01 15:15:00,1,0,0,34
29670,17.428294,78.404423,17.558294,78.534423,2022-03-20,17:30,17:40,Stormy,Medium,1,Buffet,motorcycle,0.0,No,Metropolitian,1900-01-01 17:30:00,1900-01-01 17:40:00,6,1,0,34
38146,15.576683,73.75575,15.626683,73.80575,2022-02-17,22:40,22:55,Cloudy,Low,1,Snack,motorcycle,0.0,No,Metropolitian,1900-01-01 22:40:00,1900-01-01 22:55:00,3,0,0,17
15587,22.722634,75.886959,22.832634,75.996959,2022-03-31,17:55,18:00,Sandstorms,Medium,2,Meal,scooter,1.0,No,Metropolitian,1900-01-01 17:55:00,1900-01-01 18:00:00,3,0,0,24
27514,12.337978,76.616792,12.377978,76.656792,2022-01-04,14:50,15:05,Stormy,High,2,Meal,scooter,0.0,No,Urban,1900-01-01 14:50:00,1900-01-01 15:05:00,1,0,0,12
2691,19.121999,72.908493,19.211999,72.998493,2022-04-04,21:30,21:35,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 21:30:00,1900-01-01 21:35:00,0,0,0,39
7666,26.90519,75.810753,26.95519,75.860753,2022-01-04,21:50,22:00,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 21:50:00,1900-01-01 22:00:00,1,0,0,29
998,12.939496,77.625999,12.949496,77.635999,2022-03-17,10:30,10:45,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 10:30:00,1900-01-01 10:45:00,3,0,0,27
4851,12.326356,76.619103,12.356356,76.649103,2022-03-13,17:50,17:55,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 17:50:00,1900-01-01 17:55:00,6,1,0,22
21343,10.994136,76.963303,11.024136,76.993303,2022-03-21,20:35,20:50,Windy,Jam,1,Meal,scooter,1.0,No,Urban,1900-01-01 20:35:00,1900-01-01 20:50:00,0,0,0,10
39841,19.866969,75.318894,19.936969,75.388894,2022-02-16,18:15,18:20,Fog,Medium,1,Buffet,motorcycle,2.0,No,Urban,1900-01-01 18:15:00,1900-01-01 18:20:00,2,0,0,35
38491,11.003669,76.976494,11.113669,77.086494,2022-10-03,20:25,20:35,Cloudy,Jam,2,Buffet,scooter,2.0,No,Metropolitian,1900-01-01 20:25:00,1900-01-01 20:35:00,0,0,0,41
41473,15.51315,73.78346,15.59315,73.86346,2022-02-14,17:10,17:25,Cloudy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,1900-01-01 17:10:00,1900-01-01 17:25:00,0,0,0,33
35890,22.75004,75.902847,22.77004,75.922847,2022-05-03,10:55,11:05,Fog,Low,1,Buffet,scooter,0.0,No,Metropolitian,1900-01-01 10:55:00,1900-01-01 11:05:00,1,0,0,19
17789,22.31279,73.170283,22.38279,73.240283,2022-06-04,19:40,19:50,Fog,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,1900-01-01 19:40:00,1900-01-01 19:50:00,5,1,0,43
13976,26.921411,75.793604,27.011411,75.883604,2022-03-29,21:20,21:30,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 21:20:00,1900-01-01 21:30:00,1,0,0,23
15840,23.39925,85.390464,23.40925,85.400464,2022-03-30,11:50,12:05,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,1900-01-01 11:50:00,1900-01-01 12:05:00,2,0,0,23
9959,12.979166,77.640709,13.109166,77.770709,2022-03-14,22:35,22:50,Windy,Low,2,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 22:35:00,1900-01-01 22:50:00,0,0,0,16
38078,12.981615,80.231598,12.991615,80.241598,2022-01-04,8:55,9:00,Fog,Low,2,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 08:55:00,1900-01-01 09:00:00,1,0,0,14
6770,21.175975,72.795503,21.255975,72.875503,2022-02-04,19:00,19:10,Stormy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 19:00:00,1900-01-01 19:10:00,4,0,0,38
36234,17.429585,78.392621,17.439585,78.402621,2022-05-04,8:50,9:05,Windy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,1900-01-01 08:50:00,1900-01-01 09:05:00,2,0,0,25
5006,12.972532,77.608179,13.022532,77.658179,2022-01-04,17:25,17:40,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 17:25:00,1900-01-01 17:40:00,1,0,0,17
30381,9.991703,76.293136,10.121703,76.423136,2022-02-18,17:20,17:35,Sunny,Medium,2,Drinks,scooter,0.0,No,Metropolitian,1900-01-01 17:20:00,1900-01-01 17:35:00,4,0,0,21
17193,22.75004,75.902847,22.86004,76.012847,2022-02-03,23:10,23:20,Fog,Low,2,Meal,scooter,1.0,No,Metropolitian,1900-01-01 23:10:00,1900-01-01 23:20:00,3,0,0,29
16080,21.183434,72.814492,21.213434,72.844492,2022-03-24,20:25,20:30,Sunny,Jam,1,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 20:25:00,1900-01-01 20:30:00,3,0,0,15
36659,26.913726,75.75282,26.993726,75.83282,2022-06-03,22:25,22:40,Cloudy,Low,2,Snack,scooter,0.0,No,Metropolitian,1900-01-01 22:25:00,1900-01-01 22:40:00,4,0,0,36
21342,12.933298,77.614293,12.993298,77.674293,2022-01-03,21:55,22:10,Stormy,Jam,2,Buffet,scooter,1.0,No,Urban,1900-01-01 21:55:00,1900-01-01 22:10:00,0,0,0,26
15460,18.994049,72.825203,19.064049,72.895203,2022-02-04,20:35,20:45,Sunny,Jam,1,Meal,scooter,1.0,No,Metropolitian,1900-01-01 20:35:00,1900-01-01 20:45:00,4,0,0,21
6225,23.333017,85.3172,23.373017,85.3572,2022-03-26,14:10,14:15,Fog,High,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 14:10:00,1900-01-01 14:15:00,5,1,0,24
12154,11.001852,76.976268,11.031852,77.006268,2022-03-24,21:50,22:05,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,1900-01-01 21:50:00,1900-01-01 22:05:00,3,0,0,35
32522,21.149834,72.778666,21.239834,72.868666,2022-03-20,19:50,20:00,Stormy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,1900-01-01 19:50:00,1900-01-01 20:00:00,6,1,0,39
1478,22.310329,73.169083,22.330329,73.189083,2022-03-24,10:30,10:40,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 10:30:00,1900-01-01 10:40:00,3,0,0,18
5902,26.911378,75.789034,26.981378,75.859034,2022-03-29,17:25,17:40,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 17:25:00,1900-01-01 17:40:00,1,0,0,38
5118,22.751234,75.88949,22.821234,75.95949,2022-12-03,17:10,17:15,Sunny,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 17:10:00,1900-01-01 17:15:00,5,1,0,28
1311,26.471529,80.313458,26.481529,80.323458,2022-02-15,9:40,9:45,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 09:40:00,1900-01-01 09:45:00,1,0,0,24
3041,18.569156,73.774723,18.649156,73.854723,2022-03-14,19:55,20:10,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 19:55:00,1900-01-01 20:10:00,0,0,0,37
16256,21.186608,72.794136,21.246608,72.854136,2022-03-04,22:55,23:10,Sandstorms,Low,2,Snack,scooter,1.0,No,Metropolitian,1900-01-01 22:55:00,1900-01-01 23:10:00,4,0,0,15
26903,26.956431,75.776649,26.966431,75.786649,2022-03-19,11:15,11:20,Sandstorms,High,1,Meal,scooter,0.0,No,Urban,1900-01-01 11:15:00,1900-01-01 11:20:00,5,1,0,20
38850,13.02978,80.208812,13.08978,80.268812,2022-03-26,21:25,21:35,Cloudy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,1900-01-01 21:25:00,1900-01-01 21:35:00,5,1,0,32
15294,12.316967,76.603067,12.386967,76.673067,2022-02-03,23:10,23:15,Fog,Low,1,Snack,scooter,1.0,No,Metropolitian,1900-01-01 23:10:00,1900-01-01 23:15:00,3,0,0,27
32120,18.636215,73.751081,18.676215,73.791081,2022-03-13,13:20,13:30,Fog,High,1,Buffet,motorcycle,0.0,No,Metropolitian,1900-01-01 13:20:00,1900-01-01 13:30:00,6,1,0,21
13768,11.025083,77.015393,11.065083,77.055393,2022-01-03,14:20,14:35,Sunny,High,2,Meal,scooter,1.0,No,Metropolitian,1900-01-01 14:20:00,1900-01-01 14:35:00,0,0,0,23
34037,12.323994,76.626167,12.353994,76.656167,2022-03-13,21:35,21:40,Sunny,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,1900-01-01 21:35:00,1900-01-01 21:40:00,6,1,0,22
16771,17.483216,78.552111,17.613216,78.682111,2022-03-16,21:20,21:30,Sunny,Jam,1,Meal,scooter,1.0,No,Metropolitian,1900-01-01 21:20:00,1900-01-01 21:30:00,2,0,0,30
19632,22.761593,75.886362,22.781593,75.906362,2022-03-21,11:55,12:05,Fog,High,0,Buffet,motorcycle,1.0,No,Urban,1900-01-01 11:55:00,1900-01-01 12:05:00,0,0,0,32
13331,13.022394,80.242439,13.062394,80.282439,2022-03-30,16:00,16:10,Sandstorms,Medium,2,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 16:00:00,1900-01-01 16:10:00,2,0,0,34
37356,22.725835,75.887648,22.745835,75.907648,2022-03-03,8:40,8:55,Sunny,Low,1,Meal,scooter,0.0,No,Metropolitian,1900-01-01 08:40:00,1900-01-01 08:55:00,3,0,0,16
37264,18.51421,73.838429,18.53421,73.858429,2022-01-04,9:50,10:05,Sandstorms,Low,2,Buffet,scooter,0.0,No,Metropolitian,1900-01-01 09:50:00,1900-01-01 10:05:00,1,0,0,26
14580,22.745536,75.893106,22.835536,75.983106,2022-03-16,19:45,19:50,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,1900-01-01 19:45:00,1900-01-01 19:50:00,2,0,0,44
28585,23.359033,85.325347,23.419033,85.385347,2022-03-21,22:45,22:50,Windy,Low,1,Meal,scooter,0.0,No,Urban,1900-01-01 22:45:00,1900-01-01 22:50:00,0,0,0,12
23652,17.41233,78.449654,17.49233,78.529654,2022-04-03,20:10,20:25,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,1900-01-01 20:10:00,1900-01-01 20:25:00,6,1,0,21
39184,12.933298,77.614293,13.023298,77.704293,2022-12-03,17:45,18:00,Windy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,1900-01-01 17:45:00,1900-01-01 18:00:00,5,1,0,36
39173,17.433809,78.386744,17.463809,78.416744,2022-03-04,18:25,18:35,Sandstorms,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,1900-01-01 18:25:00,1900-01-01 18:35:00,4,0,0,39
588,13.045479,80.23311,13.075479,80.26311,2022-03-30,23:30,23:35,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 23:30:00,1900-01-01 23:35:00,2,0,0,28
4388,12.337928,76.617889,12.367928,76.647889,2022-05-04,18:10,18:20,Cloudy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 18:10:00,1900-01-01 18:20:00,2,0,0,22
7252,12.310972,76.659264,12.360972,76.709264,2022-03-30,22:35,22:50,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 22:35:00,1900-01-01 22:50:00,2,0,0,16
30189,10.994136,76.963303,11.074136,77.043303,2022-03-16,18:20,18:35,Sandstorms,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,1900-01-01 18:20:00,1900-01-01 18:35:00,2,0,0,23
4028,17.430448,78.418213,17.510448,78.498213,2022-03-31,20:50,21:05,Cloudy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 20:50:00,1900-01-01 21:05:00,3,0,0,37
41658,22.32,73.17,22.33,73.18,2022-03-19,10:40,10:50,Sandstorms,Low,1,Snack,motorcycle,0.0,No,Urban,1900-01-01 10:40:00,1900-01-01 10:50:00,5,1,0,11
39363,12.972793,80.249982,13.082793,80.359982,2022-03-27,18:50,19:05,Cloudy,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,1900-01-01 18:50:00,1900-01-01 19:05:00,6,1,0,33
37338,22.310329,73.169083,22.340329,73.199083,2022-03-24,23:15,23:25,Stormy,Low,1,Buffet,scooter,0.0,No,Metropolitian,1900-01-01 23:15:00,1900-01-01 23:25:00,3,0,0,14
5117,18.927584,72.832585,19.057584,72.962585,2022-03-25,18:10,18:15,Cloudy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,1900-01-01 18:10:00,1900-01-01 18:15:00,4,0,0,41
11353,10.96185,76.971082,11.00185,77.011082,2022-05-04,13:50,14:05,Sandstorms,High,2,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 13:50:00,1900-01-01 14:05:00,2,0,0,33
36762,26.891191,75.802083,26.961191,75.872083,2022-03-14,22:50,23:00,Fog,Low,2,Meal,motorcycle,0.0,No,Metropolitian,1900-01-01 22:50:00,1900-01-01 23:00:00,0,0,0,36
27959,21.157735,72.768778,21.187735,72.798778,2022-09-03,23:20,23:30,Sunny,Low,1,Meal,scooter,0.0,No,Urban,1900-01-01 23:20:00,1900-01-01 23:30:00,5,1,0,21
20427,11.021278,76.995017,11.081278,77.055017,2022-03-19,23:15,23:20,Windy,Low,0,Drinks,motorcycle,1.0,No,Urban,1900-01-01 23:15:00,1900-01-01 23:20:00,5,1,0,22
27317,22.751234,75.88949,22.791234,75.92949,2022-05-04,16:45,16:55,Sandstorms,Medium,0,Buffet,motorcycle,0.0,No,Urban,1900-01-01 16:45:00,1900-01-01 16:55:00,2,0,0,20
33418,12.334022,76.618203,12.384022,76.668203,2022-01-04,21:20,21:30,Windy,Jam,1,Meal,scooter,0.0,No,Metropolitian,1900-01-01 21:20:00,1900-01-01 21:30:00,1,0,0,28
33514,21.149669,72.772629,21.179669,72.802629,2022-03-13,21:40,21:50,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,1900-01-01 21:40:00,1900-01-01 21:50:00,6,1,0,14
41944,18.53408,73.89852,18.61408,73.97852,2022-03-14,21:30,21:45,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 21:30:00,1900-01-01 21:45:00,0,0,0,29
23686,13.081878,80.248519,13.111878,80.278519,2022-03-03,21:30,21:40,Windy,Jam,2,Drinks,scooter,1.0,No,Urban,1900-01-01 21:30:00,1900-01-01 21:40:00,3,0,0,24
8953,23.359033,85.325347,23.429033,85.395347,2022-04-03,18:50,18:55,Stormy,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 18:50:00,1900-01-01 18:55:00,6,1,0,26
39591,17.455894,78.375467,17.495894,78.415467,2022-01-03,13:50,14:00,Sandstorms,High,0,Snack,motorcycle,2.0,No,Metropolitian,1900-01-01 13:50:00,1900-01-01 14:00:00,0,0,0,40
9296,11.000762,76.981876,11.130762,77.111876,2022-03-31,23:20,23:30,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 23:20:00,1900-01-01 23:30:00,3,0,0,29
2769,12.970221,77.645396,13.100221,77.775396,2022-06-03,21:35,21:40,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 21:35:00,1900-01-01 21:40:00,4,0,0,36
17236,23.351489,85.324253,23.411489,85.384253,2022-03-04,22:30,22:45,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,1900-01-01 22:30:00,1900-01-01 22:45:00,4,0,0,27
5061,25.451646,81.832796,25.541646,81.922796,2022-12-02,17:25,17:30,Stormy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 17:25:00,1900-01-01 17:30:00,4,0,0,34
32946,19.091458,72.827808,19.201458,72.937808,2022-03-18,19:30,19:40,Fog,Jam,2,Buffet,electric_scooter,0.0,No,Metropolitian,1900-01-01 19:30:00,1900-01-01 19:40:00,4,0,1,35
22297,12.970324,77.645748,13.000324,77.675748,2022-03-28,22:25,22:35,Fog,Low,2,Meal,electric_scooter,1.0,No,Urban,1900-01-01 22:25:00,1900-01-01 22:35:00,0,0,0,18
6234,22.311603,73.165012,22.351603,73.205012,2022-05-04,14:40,14:45,Windy,High,0,Buffet,motorcycle,1.0,No,Metropolitian,1900-01-01 14:40:00,1900-01-01 14:45:00,2,0,0,19
9473,26.913987,75.752891,26.993987,75.832891,2022-06-04,21:35,21:40,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,1900-01-01 21:35:00,1900-01-01 21:40:00,5,1,0,25
2408,12.981615,80.231598,13.041615,80.291598,2022-11-03,20:10,20:20,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,1900-01-01 20:10:00,1900-01-01 20:20:00,3,0,0,31
33765,11.022169,76.999594,11.052169,77.029594,2022-03-15,20:10,20:20,Windy,Jam,1,Drinks,scooter,0.0,No,Metropolitian,1900-01-01 20:10:00,1900-01-01 20:20:00,1,0,0,26
