,multiple_deliveries,e_Time_Orderd,e_Time_Order_picked,weekday,weekend,holiday,Time_taken (min),distance,Weather conditions_Cloudy,Weather conditions_Fog,Weather conditions_Sandstorms,Weather conditions_Stormy,Weather conditions_Sunny,Weather conditions_Windy,Road_traffic_density_High,Road_traffic_density_Jam,Road_traffic_density_Low,Road_traffic_density_Medium,Vehicle_condition,Type_of_order_Buffet,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Type_of_vehicle_electric_scooter,Type_of_vehicle_motorcycle,Type_of_vehicle_scooter,Festival,City_Metropolitian,City_Semi-Urban,City_Urban,hour,time_hour,식사
31,1.0,1900-01-01 18:45:00,1900-01-01 19:00:00,1,0,0,16,9.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,18,식사,1
32,1.0,1900-01-01 11:35:00,1900-01-01 11:45:00,5,1,0,27,4.7,0,1,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,11,식사,1
33,1.0,1900-01-01 22:25:00,1900-01-01 22:35:00,5,1,0,24,6.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,22,no식사,0
34,1.0,1900-01-01 16:15:00,1900-01-01 16:30:00,1,0,0,27,8.5,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,16,no식사,0
35,1.0,1900-01-01 22:15:00,1900-01-01 22:30:00,4,0,0,29,14.3,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,0,0,22,no식사,0
36,1.0,1900-01-01 20:55:00,1900-01-01 21:05:00,3,0,0,31,20.7,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,20,식사,1
37,1.0,1900-01-01 09:10:00,1900-01-01 09:25:00,1,0,0,16,4.1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,9,no식사,0
38,1.0,1900-01-01 16:55:00,1900-01-01 17:10:00,4,0,0,31,8.4,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,16,no식사,0
39,1.0,1900-01-01 21:40:00,1900-01-01 21:45:00,0,0,0,26,17.9,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,21,식사,1
40,1.0,1900-01-01 11:25:00,1900-01-01 11:30:00,1,0,0,38,3.4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,11,식사,1
41,1.0,1900-01-01 15:15:00,1900-01-01 15:20:00,0,0,0,25,17.1,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,15,no식사,0
42,1.0,1900-01-01 09:50:00,1900-01-01 10:05:00,2,0,0,21,4.7,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,9,no식사,0
43,1.0,1900-01-01 18:20:00,1900-01-01 18:35:00,5,1,0,30,11.3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,18,식사,1
44,1.0,1900-01-01 10:00:00,1900-01-01 10:15:00,2,0,0,14,6.1,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,1,0,0,10,no식사,0
46,1.0,1900-01-01 18:35:00,1900-01-01 18:50:00,5,1,0,19,10.2,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,18,식사,1
47,2.0,1900-01-01 20:40:00,1900-01-01 20:50:00,5,1,0,48,8.4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,20,식사,1
48,1.0,1900-01-01 18:15:00,1900-01-01 18:30:00,0,0,0,25,17.1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,18,식사,1
49,1.0,1900-01-01 19:50:00,1900-01-01 20:05:00,3,0,0,21,18.2,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0,19,식사,1
50,1.0,1900-01-01 17:20:00,1900-01-01 17:25:00,4,0,0,35,14.5,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,17,식사,1
51,1.0,1900-01-01 18:55:00,1900-01-01 19:05:00,3,0,0,24,5.6,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,18,식사,1
52,1.0,1900-01-01 20:55:00,1900-01-01 21:05:00,4,0,0,14,13.7,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,1,0,1,0,0,20,식사,1
53,1.0,1900-01-01 09:45:00,1900-01-01 09:50:00,1,0,0,19,3.6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,9,no식사,0
55,1.0,1900-01-01 19:55:00,1900-01-01 20:10:00,4,0,0,31,23.2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,19,식사,1
56,1.0,1900-01-01 20:20:00,1900-01-01 20:30:00,5,1,0,25,19.7,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,20,식사,1
57,1.0,1900-01-01 17:35:00,1900-01-01 17:50:00,3,0,0,24,8.4,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,17,식사,1
58,1.0,1900-01-01 23:15:00,1900-01-01 23:25:00,3,0,0,28,11.9,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,23,no식사,0
59,1.0,1900-01-01 09:40:00,1900-01-01 09:45:00,1,0,0,19,5.1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,9,no식사,0
60,1.0,1900-01-01 13:35:00,1900-01-01 13:50:00,6,1,0,21,9.0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,13,식사,1
61,1.0,1900-01-01 18:35:00,1900-01-01 18:50:00,2,0,0,17,9.4,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,18,식사,1
62,2.0,1900-01-01 22:20:00,1900-01-01 22:30:00,4,0,0,39,26.3,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,22,no식사,0
63,1.0,1900-01-01 19:35:00,1900-01-01 19:45:00,2,0,0,26,18.8,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,19,식사,1
64,1.0,1900-01-01 00:00:00,1900-01-01 00:05:00,3,0,0,22,12.0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,no식사,0
65,1.0,1900-01-01 15:35:00,1900-01-01 15:50:00,1,0,0,15,8.5,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,1,15,no식사,0
66,1.0,1900-01-01 11:40:00,1900-01-01 11:55:00,2,0,0,32,5.1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,11,식사,1
67,1.0,1900-01-01 00:00:00,1900-01-01 00:05:00,6,1,0,16,24.3,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,0,no식사,0
68,1.0,1900-01-01 18:35:00,1900-01-01 18:45:00,5,1,0,31,18.1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,18,식사,1
69,1.0,1900-01-01 20:10:00,1900-01-01 20:20:00,5,1,0,38,18.4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,20,식사,1
70,1.0,1900-01-01 12:35:00,1900-01-01 12:40:00,0,0,0,25,8.5,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,12,식사,1
71,1.0,1900-01-01 19:10:00,1900-01-01 19:25:00,2,0,0,37,16.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,19,식사,1
72,1.0,1900-01-01 09:50:00,1900-01-01 09:55:00,4,0,0,16,6.4,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,9,no식사,0
73,1.0,1900-01-01 20:45:00,1900-01-01 21:00:00,5,1,0,25,14.1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,20,식사,1
74,1.0,1900-01-01 12:30:00,1900-01-01 12:45:00,3,0,0,18,10.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,12,식사,1
75,1.0,1900-01-01 10:40:00,1900-01-01 10:50:00,3,0,0,19,2.8,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1,10,no식사,0
76,2.0,1900-01-01 21:25:00,1900-01-01 21:40:00,6,1,0,44,23.3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,21,식사,1
77,1.0,1900-01-01 16:25:00,1900-01-01 16:30:00,5,1,0,33,9.1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,16,no식사,0
78,1.0,1900-01-01 14:10:00,1900-01-01 14:25:00,0,0,0,34,9.2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,14,식사,1
79,1.0,1900-01-01 15:00:00,1900-01-01 15:05:00,4,0,0,27,10.3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,15,no식사,0
80,1.0,1900-01-01 19:35:00,1900-01-01 19:45:00,3,0,0,37,6.2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,19,식사,1
81,1.0,1900-01-01 17:30:00,1900-01-01 17:40:00,5,1,0,29,7.2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,17,식사,1
82,1.0,1900-01-01 22:20:00,1900-01-01 22:25:00,0,0,0,20,19.4,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,22,no식사,0
83,1.0,1900-01-01 19:10:00,1900-01-01 19:25:00,0,0,0,38,20.0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,19,식사,1
84,1.0,1900-01-01 23:15:00,1900-01-01 23:20:00,3,0,0,27,13.3,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,1,0,0,1,0,0,23,no식사,0
85,1.0,1900-01-01 11:00:00,1900-01-01 11:10:00,6,1,0,28,2.3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,11,식사,1
86,1.0,1900-01-01 19:00:00,1900-01-01 19:10:00,1,0,0,14,15.0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,1,0,0,19,식사,1
87,1.0,1900-01-01 20:40:00,1900-01-01 20:50:00,0,0,0,41,20.7,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,20,식사,1
88,1.0,1900-01-01 08:50:00,1900-01-01 08:55:00,1,0,0,15,5.5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,8,no식사,0
89,1.0,1900-01-01 10:55:00,1900-01-01 11:00:00,3,0,0,15,5.9,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,10,no식사,0
90,1.0,1900-01-01 17:55:00,1900-01-01 18:00:00,4,0,0,31,26.4,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,17,식사,1
91,2.0,1900-01-01 21:15:00,1900-01-01 21:20:00,5,1,0,43,32.9,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,21,식사,1
92,1.0,1900-01-01 17:45:00,1900-01-01 17:50:00,2,0,0,26,15.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,17,식사,1
93,1.0,1900-01-01 13:20:00,1900-01-01 13:25:00,1,0,0,18,7.9,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,13,식사,1
94,2.0,1900-01-01 21:40:00,1900-01-01 21:55:00,0,0,0,46,11.6,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,21,식사,1
95,1.0,1900-01-01 19:35:00,1900-01-01 19:50:00,4,0,0,39,18.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,19,식사,1
96,1.0,1900-01-01 20:55:00,1900-01-01 21:05:00,5,1,0,18,10.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,20,식사,1
97,1.0,1900-01-01 15:45:00,1900-01-01 16:00:00,3,0,0,26,9.1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,15,no식사,0
98,1.0,1900-01-01 23:45:00,1900-01-01 00:00:00,3,0,0,22,33.9,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,23,no식사,0
99,1.0,1900-01-01 16:10:00,1900-01-01 16:20:00,1,0,0,21,12.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,16,no식사,0
100,1.0,1900-01-01 13:00:00,1900-01-01 13:05:00,3,0,0,26,9.1,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,13,식사,1
101,1.0,1900-01-01 11:20:00,1900-01-01 11:25:00,5,1,0,29,2.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,11,식사,1
102,1.0,1900-01-01 10:55:00,1900-01-01 11:05:00,1,0,0,27,5.2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,10,no식사,0
103,1.0,1900-01-01 23:55:00,1900-01-01 00:10:00,4,0,0,12,20.2,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,23,no식사,0
104,1.0,1900-01-01 17:55:00,1900-01-01 18:00:00,5,1,0,29,15.6,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,17,식사,1
105,1.0,1900-01-01 22:00:00,1900-01-01 22:15:00,1,0,0,36,18.3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,22,no식사,0
106,1.0,1900-01-01 14:45:00,1900-01-01 14:50:00,5,1,0,23,7.6,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,14,식사,1
107,1.0,1900-01-01 19:00:00,1900-01-01 19:05:00,2,0,0,35,25.2,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0,19,식사,1
108,1.0,1900-01-01 11:55:00,1900-01-01 12:10:00,6,1,0,27,5.5,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,11,식사,1
109,1.0,1900-01-01 19:50:00,1900-01-01 20:00:00,0,0,0,34,22.6,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,19,식사,1
110,1.0,1900-01-01 19:45:00,1900-01-01 19:50:00,3,0,0,33,14.5,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,19,식사,1
111,1.0,1900-01-01 23:15:00,1900-01-01 23:30:00,4,0,0,24,13.6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,23,no식사,0
112,1.0,1900-01-01 16:45:00,1900-01-01 16:50:00,2,0,0,28,16.3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,16,no식사,0
113,1.0,1900-01-01 20:20:00,1900-01-01 20:35:00,0,0,0,25,14.6,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,20,식사,1
114,1.0,1900-01-01 09:40:00,1900-01-01 09:50:00,1,0,0,26,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,9,no식사,0
115,1.0,1900-01-01 21:15:00,1900-01-01 21:30:00,6,1,0,25,11.4,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,21,식사,1
116,1.0,1900-01-01 23:55:00,1900-01-01 00:00:00,6,1,0,25,17.9,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,23,no식사,0
117,1.0,1900-01-01 23:10:00,1900-01-01 23:20:00,5,1,0,16,13.6,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,23,no식사,0
118,1.0,1900-01-01 23:20:00,1900-01-01 23:30:00,5,1,0,23,14.6,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,23,no식사,0
119,1.0,1900-01-01 17:50:00,1900-01-01 17:55:00,0,0,0,33,13.6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,17,식사,1
120,1.0,1900-01-01 11:35:00,1900-01-01 11:45:00,1,0,0,20,3.8,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,11,식사,1
121,1.0,1900-01-01 09:00:00,1900-01-01 09:10:00,1,0,0,20,3.4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,9,no식사,0
122,1.0,1900-01-01 10:20:00,1900-01-01 10:35:00,0,0,0,14,3.2,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,10,no식사,0
123,1.0,1900-01-01 21:30:00,1900-01-01 21:35:00,2,0,0,26,18.2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,21,식사,1
124,1.0,1900-01-01 17:25:00,1900-01-01 17:30:00,5,1,0,27,7.0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,1,17,식사,1
125,1.0,1900-01-01 10:15:00,1900-01-01 10:30:00,3,0,0,26,2.4,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,10,no식사,0
126,1.0,1900-01-01 20:20:00,1900-01-01 20:30:00,4,0,0,41,17.2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,20,식사,1
127,1.0,1900-01-01 09:55:00,1900-01-01 10:10:00,1,0,0,25,1.7,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,9,no식사,0
128,1.0,1900-01-01 17:10:00,1900-01-01 17:25:00,2,0,0,22,15.2,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,17,식사,1
129,1.0,1900-01-01 23:45:00,1900-01-01 23:55:00,0,0,0,15,23.0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,23,no식사,0
130,1.0,1900-01-01 22:00:00,1900-01-01 22:05:00,4,0,0,35,21.8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,22,no식사,0
131,1.0,1900-01-01 18:35:00,1900-01-01 18:45:00,1,0,0,34,12.6,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,0,0,18,식사,1
132,1.0,1900-01-01 21:55:00,1900-01-01 22:00:00,1,0,0,31,21.1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,21,식사,1
133,1.0,1900-01-01 21:45:00,1900-01-01 22:00:00,6,1,0,17,24.1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,21,식사,1
134,1.0,1900-01-01 09:15:00,1900-01-01 09:30:00,1,0,0,12,5.4,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,9,no식사,0
135,1.0,1900-01-01 16:35:00,1900-01-01 16:50:00,6,1,0,26,9.7,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,16,no식사,0
136,1.0,1900-01-01 16:50:00,1900-01-01 17:05:00,5,1,0,26,6.7,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,16,no식사,0
137,1.0,1900-01-01 17:15:00,1900-01-01 17:25:00,0,0,0,19,15.2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,17,식사,1
138,1.0,1900-01-01 18:15:00,1900-01-01 18:20:00,3,0,0,23,10.7,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,18,식사,1
139,1.0,1900-01-01 17:45:00,1900-01-01 17:50:00,3,0,0,28,12.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,17,식사,1
140,1.0,1900-01-01 22:35:00,1900-01-01 22:45:00,6,1,0,22,19.3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,22,no식사,0
141,1.0,1900-01-01 11:40:00,1900-01-01 11:50:00,1,0,0,33,3.2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,11,식사,1
142,1.0,1900-01-01 22:30:00,1900-01-01 22:35:00,0,0,0,26,9.4,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,22,no식사,0
