,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,multiple_deliveries,e_Time_Orderd,e_Time_Order_picked,weekday,weekend,holiday,Time_taken (min),distance,Weather conditions_Cloudy,Weather conditions_Fog,Weather conditions_Sandstorms,Weather conditions_Stormy,Weather conditions_Sunny,Weather conditions_Windy,Road_traffic_density_High,Road_traffic_density_Jam,Road_traffic_density_Low,Road_traffic_density_Medium,Vehicle_condition,Type_of_order_Buffet,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Type_of_vehicle_electric_scooter,Type_of_vehicle_motorcycle,Type_of_vehicle_scooter,Festival,City_Metropolitian,City_Semi-Urban,City_Urban,hour,time_hour,no식사,식사
69,109,109,153,1.0,1900-01-01 20:10:00,1900-01-01 20:20:00,5,1,0,38,18.4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,20,식사,0,1
70,111,111,155,1.0,1900-01-01 12:35:00,1900-01-01 12:40:00,0,0,0,25,8.5,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,12,식사,0,1
71,112,112,157,1.0,1900-01-01 19:10:00,1900-01-01 19:25:00,2,0,0,37,16.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,19,식사,0,1
72,114,114,159,1.0,1900-01-01 09:50:00,1900-01-01 09:55:00,4,0,0,16,6.4,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,9,no식사,1,0
73,115,115,160,1.0,1900-01-01 20:45:00,1900-01-01 21:00:00,5,1,0,25,14.1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,20,식사,0,1
74,117,117,162,1.0,1900-01-01 12:30:00,1900-01-01 12:45:00,3,0,0,18,10.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,12,식사,0,1
75,118,118,163,1.0,1900-01-01 10:40:00,1900-01-01 10:50:00,3,0,0,19,2.8,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,1,10,no식사,1,0
76,121,121,166,2.0,1900-01-01 21:25:00,1900-01-01 21:40:00,6,1,0,44,23.3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,21,식사,0,1
77,122,122,167,1.0,1900-01-01 16:25:00,1900-01-01 16:30:00,5,1,0,33,9.1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,16,no식사,1,0
78,123,123,168,1.0,1900-01-01 14:10:00,1900-01-01 14:25:00,0,0,0,34,9.2,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,14,식사,0,1
79,124,124,169,1.0,1900-01-01 15:00:00,1900-01-01 15:05:00,4,0,0,27,10.3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,15,no식사,1,0
80,125,125,172,1.0,1900-01-01 19:35:00,1900-01-01 19:45:00,3,0,0,37,6.2,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,19,식사,0,1
81,126,126,173,1.0,1900-01-01 17:30:00,1900-01-01 17:40:00,5,1,0,29,7.2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,17,식사,0,1
82,129,129,178,1.0,1900-01-01 22:20:00,1900-01-01 22:25:00,0,0,0,20,19.4,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,22,no식사,1,0
83,130,130,179,1.0,1900-01-01 19:10:00,1900-01-01 19:25:00,0,0,0,38,20.0,0,1,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,19,식사,0,1
84,132,132,181,1.0,1900-01-01 23:15:00,1900-01-01 23:20:00,3,0,0,27,13.3,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,1,0,0,1,0,0,23,no식사,1,0
85,133,133,182,1.0,1900-01-01 11:00:00,1900-01-01 11:10:00,6,1,0,28,2.3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,11,식사,0,1
86,135,135,184,1.0,1900-01-01 19:00:00,1900-01-01 19:10:00,1,0,0,14,15.0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,1,0,0,19,식사,0,1
87,137,137,186,1.0,1900-01-01 20:40:00,1900-01-01 20:50:00,0,0,0,41,20.7,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,20,식사,0,1
88,139,139,189,1.0,1900-01-01 08:50:00,1900-01-01 08:55:00,1,0,0,15,5.5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,8,no식사,1,0
89,140,140,190,1.0,1900-01-01 10:55:00,1900-01-01 11:00:00,3,0,0,15,5.9,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,10,no식사,1,0
90,141,141,192,1.0,1900-01-01 17:55:00,1900-01-01 18:00:00,4,0,0,31,26.4,0,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,17,식사,0,1
91,142,142,193,2.0,1900-01-01 21:15:00,1900-01-01 21:20:00,5,1,0,43,32.9,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,1,0,0,21,식사,0,1
92,143,143,195,1.0,1900-01-01 17:45:00,1900-01-01 17:50:00,2,0,0,26,15.5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,17,식사,0,1
93,145,145,197,1.0,1900-01-01 13:20:00,1900-01-01 13:25:00,1,0,0,18,7.9,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,13,식사,0,1
94,148,148,200,2.0,1900-01-01 21:40:00,1900-01-01 21:55:00,0,0,0,46,11.6,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,21,식사,0,1
95,150,150,202,1.0,1900-01-01 19:35:00,1900-01-01 19:50:00,4,0,0,39,18.1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,19,식사,0,1
96,151,151,203,1.0,1900-01-01 20:55:00,1900-01-01 21:05:00,5,1,0,18,10.0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,20,식사,0,1
97,152,152,204,1.0,1900-01-01 15:45:00,1900-01-01 16:00:00,3,0,0,26,9.1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,15,no식사,1,0
98,153,153,206,1.0,1900-01-01 23:45:00,1900-01-01 00:00:00,3,0,0,22,33.9,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,23,no식사,1,0
99,155,155,208,1.0,1900-01-01 16:10:00,1900-01-01 16:20:00,1,0,0,21,12.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,16,no식사,1,0
100,156,156,209,1.0,1900-01-01 13:00:00,1900-01-01 13:05:00,3,0,0,26,9.1,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,13,식사,0,1
101,157,157,210,1.0,1900-01-01 11:20:00,1900-01-01 11:25:00,5,1,0,29,2.0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,11,식사,0,1
102,158,158,211,1.0,1900-01-01 10:55:00,1900-01-01 11:05:00,1,0,0,27,5.2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,10,no식사,1,0
103,159,159,212,1.0,1900-01-01 23:55:00,1900-01-01 00:10:00,4,0,0,12,20.2,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,23,no식사,1,0
104,160,160,213,1.0,1900-01-01 17:55:00,1900-01-01 18:00:00,5,1,0,29,15.6,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,17,식사,0,1
105,161,161,214,1.0,1900-01-01 22:00:00,1900-01-01 22:15:00,1,0,0,36,18.3,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,22,no식사,1,0
106,162,162,215,1.0,1900-01-01 14:45:00,1900-01-01 14:50:00,5,1,0,23,7.6,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,14,식사,0,1
107,163,163,216,1.0,1900-01-01 19:00:00,1900-01-01 19:05:00,2,0,0,35,25.2,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,1,0,0,19,식사,0,1
108,164,164,217,1.0,1900-01-01 11:55:00,1900-01-01 12:10:00,6,1,0,27,5.5,1,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,11,식사,0,1
109,166,166,219,1.0,1900-01-01 19:50:00,1900-01-01 20:00:00,0,0,0,34,22.6,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,19,식사,0,1
110,167,167,220,1.0,1900-01-01 19:45:00,1900-01-01 19:50:00,3,0,0,33,14.5,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,19,식사,0,1
111,168,168,222,1.0,1900-01-01 23:15:00,1900-01-01 23:30:00,4,0,0,24,13.6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,23,no식사,1,0
112,169,169,223,1.0,1900-01-01 16:45:00,1900-01-01 16:50:00,2,0,0,28,16.3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,16,no식사,1,0
113,170,170,224,1.0,1900-01-01 20:20:00,1900-01-01 20:35:00,0,0,0,25,14.6,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,20,식사,0,1
114,173,173,227,1.0,1900-01-01 09:40:00,1900-01-01 09:50:00,1,0,0,26,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,9,no식사,1,0
115,174,174,230,1.0,1900-01-01 21:15:00,1900-01-01 21:30:00,6,1,0,25,11.4,0,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,21,식사,0,1
116,176,176,235,1.0,1900-01-01 23:55:00,1900-01-01 00:00:00,6,1,0,25,17.9,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,23,no식사,1,0
117,177,177,236,1.0,1900-01-01 23:10:00,1900-01-01 23:20:00,5,1,0,16,13.6,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,23,no식사,1,0
118,178,178,237,1.0,1900-01-01 23:20:00,1900-01-01 23:30:00,5,1,0,23,14.6,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,1,23,no식사,1,0
119,181,181,240,1.0,1900-01-01 17:50:00,1900-01-01 17:55:00,0,0,0,33,13.6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,17,식사,0,1
120,182,182,242,1.0,1900-01-01 11:35:00,1900-01-01 11:45:00,1,0,0,20,3.8,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,11,식사,0,1
121,183,183,243,1.0,1900-01-01 09:00:00,1900-01-01 09:10:00,1,0,0,20,3.4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,9,no식사,1,0
122,185,185,245,1.0,1900-01-01 10:20:00,1900-01-01 10:35:00,0,0,0,14,3.2,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,1,0,0,10,no식사,1,0
123,186,186,246,1.0,1900-01-01 21:30:00,1900-01-01 21:35:00,2,0,0,26,18.2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,21,식사,0,1
124,187,187,247,1.0,1900-01-01 17:25:00,1900-01-01 17:30:00,5,1,0,27,7.0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,1,17,식사,0,1
125,188,188,248,1.0,1900-01-01 10:15:00,1900-01-01 10:30:00,3,0,0,26,2.4,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,10,no식사,1,0
126,189,189,249,1.0,1900-01-01 20:20:00,1900-01-01 20:30:00,4,0,0,41,17.2,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,20,식사,0,1
127,191,191,253,1.0,1900-01-01 09:55:00,1900-01-01 10:10:00,1,0,0,25,1.7,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,0,9,no식사,1,0
